Reference,Qty,Ext. Qty,-,-,Value,DIGIKEY,,BAGS,
SW1,1,15,,,SW_SPST,TRUE,,1,"U1, U2, U3 SOCKETS"
C13,1,15,,,1u,TRUE,,2,"C1-C8, R1"
Q1,1,15,,,FQA8N100C,TRUE,,3,"R2, D1, C9"
R4,1,15,,,1.2k,TRUE,,4,"C10, RV1, R3, U4"
R5,1,15,,,8.2k,TRUE,,5,"U5, TVS1, C11, Q1"
"J1,J2",2,30,,,Screw_Terminal_01x02,TRUE,,6,"R4, R5, LED1"
C14,1,15,,,560u,TRUE,,7,"J1, J2"
R2,1,15,,,68k,TRUE,,8,"F1, D2, C13"
R1,1,15,,,18k,TRUE,,9,"C12, C14"
R3,1,15,,,1.5R,TRUE,,10,TR1
D2,1,15,,,DB105,TRUE,,11,"U1, U2, U3 ICs"
D1,1,15,,,D_Small_Filled,TRUE,,12,HEATSINK
TVS1,1,15,,,18V,TRUE,,,
C11,1,15,,,2.7n,TRUE,,,
C12,1,15,,,470u,TRUE,,,
C9,1,15,,,330n,TRUE,,,
"C1,C2,C3,C4,C5,C6,C7,C8",8,150,,,0.1u,TRUE,,,
TR1,1,15,,,TRANSF1,TRUE,,,
RV1,1,15,,,5k,TRUE,,,
U1,1,15,,,NE555P,TRUE,,,
U2,1,15,,,UCC37322P,TRUE,,,
U3,1,15,,,CD74HC14E,TRUE,,,
U4,1,15,,,LM7812_TO220,TRUE,,,
U5,1,15,,,LM7805_TO220,TRUE,,,
F1,1,15,,,4A,TRUE,,,
C10,1,15,,,470p,TRUE,,,
LED1,1,15,,,LED,FALSE,,,
WAGO CONN,1,15,,,,FALSE,,,
THERMAL PASTE,0,3,,,,FALSE,,,
TUNING DRIVER,1,15,,,,FALSE,,,
